<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.06	19:30:00	2634.472	2635.171	2633.601	2635.118	1362	0	160
2025.01.06	19:45:00	2635.083	2635.517	2633.855	2634.376	1228	0	160
2025.01.06	20:00:00	2634.410	2634.938	2633.132	2634.056	1324	0	159
2025.01.06	20:15:00	2634.014	2635.508	2633.558	2634.120	1218	0	160
2025.01.06	20:30:00	2634.105	2634.533	2633.248	2634.486	1082	0	160
2025.01.06	20:45:00	2634.522	2634.857	2633.800	2634.660	1133	0	160
2025.01.06	21:00:00	2634.614	2636.424	2634.614	2636.265	738	0	159
2025.01.06	21:15:00	2636.232	2637.131	2636.050	2636.778	606	0	159
2025.01.06	21:30:00	2636.770	2636.980	2635.939	2636.072	525	0	160
2025.01.06	21:45:00	2636.075	2636.336	2635.650	2635.747	412	0	160
2025.01.06	23:00:00	2635.919	2636.270	2635.619	2635.694	377	0	160
2025.01.06	23:15:00	2635.687	2635.687	2634.866	2634.866	528	0	159
2025.01.06	23:30:00	2634.913	2634.948	2634.076	2634.212	527	0	160
2025.01.06	23:45:00	2634.211	2635.155	2633.495	2634.676	690	0	159
2025.01.07	00:00:00	2634.625	2635.185	2633.997	2634.348	626	0	160
2025.01.07	00:15:00	2634.350	2634.548	2632.918	2633.012	707	0	160
2025.01.07	00:30:00	2633.046	2633.986	2632.936	2633.267	768	0	159
2025.01.07	00:45:00	2633.212	2635.165	2633.028	2635.075	971	0	160
2025.01.07	01:00:00	2635.034	2637.995	2634.779	2637.275	2203	0	159
2025.01.07	01:15:00	2637.307	2639.182	2635.791	2637.500	1989	0	159
2025.01.07	01:30:00	2637.455	2639.408	2636.361	2638.707	1855	0	159
2025.01.07	01:45:00	2638.685	2641.146	2638.229	2639.017	1612	0	159
2025.01.07	02:00:00	2639.022	2640.058	2637.738	2638.118	1331	0	160
2025.01.07	02:15:00	2638.053	2638.823	2636.965	2638.098	1005	0	159
2025.01.07	02:30:00	2638.158	2638.439	2636.960	2637.779	1279	0	160
2025.01.07	02:45:00	2637.785	2639.797	2637.267	2638.586	1375	0	160
2025.01.07	03:00:00	2638.668	2638.905	2637.507	2638.703	1165	0	159
2025.01.07	03:15:00	2638.715	2639.514	2638.420	2638.703	807	0	160
2025.01.07	03:30:00	2638.715	2640.202	2638.644	2639.279	957	0	160
2025.01.07	03:45:00	2639.271	2639.617	2638.376	2639.563	674	0	159
2025.01.07	04:00:00	2639.560	2639.738	2638.434	2638.839	723	0	160
2025.01.07	04:15:00	2638.869	2639.560	2637.267	2637.964	964	0	159
2025.01.07	04:30:00	2638.007	2638.718	2637.836	2638.055	725	0	160
2025.01.07	04:45:00	2638.070	2639.694	2637.949	2638.266	931	0	159
2025.01.07	05:00:00	2638.280	2639.496	2637.020	2639.225	859	0	159
2025.01.07	05:15:00	2639.225	2644.297	2639.100	2643.234	1520	0	160
2025.01.07	05:30:00	2643.234	2645.708	2642.813	2644.319	1898	0	159
2025.01.07	05:45:00	2644.357	2645.195	2643.851	2644.439	1494	0	160
2025.01.07	06:00:00	2644.401	2646.757	2644.087	2645.298	1486	0	159
